modelFreeScore,seqId,seq,semantic
3.6853863394524473E-6,1573,1125315 -1 1551099 -1  -2 ,'Acetaminophen' -1 'Prednisone' -1 -2 
3.593869473798541E-6,879,1174888 -1 1742253 -1  -2 ,'Hydrocodone' -1 'Levofloxacin' -1 -2 
3.5748484422933006E-6,275,1174888 -1 19049105 -1  -2 ,'Hydrocodone' -1 'Potassium Chloride' -1 -2 
3.546963780416258E-6,27,948078 -1  -2 ,'pantoprazole' -1 -2 
3.522089177941405E-6,131,19121608 -1  -2 ,'Influenza virus vaccine' -1 -2 
3.473827803003519E-6,289,1125315 -1 19049105 -1  -2 ,'Acetaminophen' -1 'Potassium Chloride' -1 -2 
3.430328146215688E-6,2172,1174888 -1 1125315 1174888 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
3.405127976747106E-6,86,1346823 -1  -2 ,'carvedilol' -1 -2 
3.3978531042468265E-6,3267,1125315 -1 1124957 -1  -2 ,'Acetaminophen' -1 'Oxycodone' -1 -2 
3.389219364230637E-6,95,1506270 -1  -2 ,'Methylprednisolone' -1 -2 
3.1817371658855416E-6,82,1332418 -1  -2 ,'Amlodipine' -1 -2 
3.056674070699671E-6,3370,1125315 1174888 -1 956874 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Furosemide' -1 -2 
2.942274415236698E-6,33,970250 -1  -2 ,'Spironolactone' -1 -2 
2.889022829614786E-6,69,1201620 -1  -2 ,'Codeine' -1 -2 
2.8866085935856184E-6,374,19049105 -1 1125315 1174888 -1  -2 ,'Potassium Chloride' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
2.872289993018772E-6,22,922570 -1  -2 ,'Nystatin' -1 -2 
2.8204029579106E-6,3158,1125315 1153664 -1  -2 ,'Acetaminophen' 'Propoxyphene' -1 -2 
2.7587425621524536E-6,810,1713332 1759842 -1  -2 ,'Amoxicillin' 'Clavulanate' -1 -2 
2.7587425621524536E-6,121,1759842 -1  -2 ,'Clavulanate' -1 -2 
2.749335275994207E-6,5402,956874 -1 1125315 1174888 -1  -2 ,'Furosemide' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
2.7447894308879865E-6,3054,956874 -1 1154343 -1  -2 ,'Furosemide' -1 'Albuterol' -1 -2 
2.7272223746060186E-6,34,974166 -1  -2 ,'Hydrochlorothiazide' -1 -2 
2.720144144280305E-6,3046,1125315 -1 1154343 -1  -2 ,'Acetaminophen' -1 'Albuterol' -1 -2 
2.6411813807043553E-6,860,1742253 -1 1551099 -1  -2 ,'Levofloxacin' -1 'Prednisone' -1 -2 
2.6336879330019156E-6,1562,1174888 -1 1551099 -1  -2 ,'Hydrocodone' -1 'Prednisone' -1 -2 
2.6114358451814014E-6,2023,1174888 -1 1124957 -1  -2 ,'Hydrocodone' -1 'Oxycodone' -1 -2 
2.5923034044311785E-6,53,1137529 -1  -2 ,'salmeterol' -1 -2 
2.591208121827035E-6,5292,956874 -1 956874 -1  -2 ,'Furosemide' -1 'Furosemide' -1 -2 
2.4499803419294713E-6,24,929887 -1  -2 ,'lansoprazole' -1 -2 
2.4330752635618283E-6,117,1738521 -1  -2 ,'Doxycycline' -1 -2 
2.426576150866873E-6,60,1154029 -1  -2 ,'Fentanyl' -1 -2 
2.4174064513967796E-6,1565,1154343 -1 1551099 -1  -2 ,'Albuterol' -1 'Prednisone' -1 -2 
2.3738303700140763E-6,245,1551099 -1 19049105 -1  -2 ,'Prednisone' -1 'Potassium Chloride' -1 -2 
2.3705383821455136E-6,1563,1551099 -1 1174888 -1  -2 ,'Prednisone' -1 'Hydrocodone' -1 -2 
2.364575108386693E-6,1552,1551099 -1 1551099 -1  -2 ,'Prednisone' -1 'Prednisone' -1 -2 
2.3611750347352553E-6,880,1742253 -1 1174888 -1  -2 ,'Levofloxacin' -1 'Hydrocodone' -1 -2 
2.336911852199605E-6,1873,1125315 -1 1310149 -1  -2 ,'Acetaminophen' -1 'Warfarin' -1 -2 
2.322105634843473E-6,292,19049105 -1 1124957 -1  -2 ,'Potassium Chloride' -1 'Oxycodone' -1 -2 
2.321980573541246E-6,308,956874 -1 19049105 -1  -2 ,'Furosemide' -1 'Potassium Chloride' -1 -2 
2.3114079989461655E-6,102,1545958 -1  -2 ,'atorvastatin' -1 -2 
2.2837763317166016E-6,112,1707164 -1  -2 ,'Metronidazole' -1 -2 
2.2587062305842863E-6,3047,1154343 -1 1125315 -1  -2 ,'Albuterol' -1 'Acetaminophen' -1 -2 
2.2542827440469322E-6,1246,1125315 -1 1713332 -1  -2 ,'Acetaminophen' -1 'Amoxicillin' -1 -2 
2.168534470622816E-6,1695,1125315 -1 1518254 -1  -2 ,'Acetaminophen' -1 'Dexamethasone' -1 -2 
2.1636732149713356E-6,31,961047 -1  -2 ,'Ranitidine' -1 -2 
2.136429064027419E-6,1041,1734104 -1 1125315 -1  -2 ,'Azithromycin' -1 'Acetaminophen' -1 -2 
2.118471637912629E-6,309,19049105 -1 956874 -1  -2 ,'Potassium Chloride' -1 'Furosemide' -1 -2 
2.1112611169391884E-6,4598,1125315 1174888 -1 1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
2.1112611169391884E-6,4146,1125315 1174888 -1 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Hydrocodone' -1 -2 
2.1081662168032475E-6,900,1742253 -1 956874 -1  -2 ,'Levofloxacin' -1 'Furosemide' -1 -2 
2.062092646009133E-6,109,1596914 -1  -2 ,'Insulin. Isophane. Human' -1 -2 
2.0614057168069457E-6,645,1174888 -1 1797513 -1  -2 ,'Hydrocodone' -1 'Ciprofloxacin' -1 -2 
2.007123910530784E-6,5234,956874 -1 1112921 -1  -2 ,'Furosemide' -1 'Ipratropium' -1 -2 
1.973796713844105E-6,4476,1125315 1174888 -1 19049105 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Potassium Chloride' -1 -2 
1.953035066351663E-6,5201,956874 -1 1124957 -1  -2 ,'Furosemide' -1 'Oxycodone' -1 -2 
1.9215531798356137E-6,4465,1125315 1174888 -1 1551099 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Prednisone' -1 -2 
1.9045212989373024E-6,1871,1174888 -1 1310149 -1  -2 ,'Hydrocodone' -1 'Warfarin' -1 -2 
1.8976673492670753E-6,1233,1174888 -1 1713332 -1  -2 ,'Hydrocodone' -1 'Amoxicillin' -1 -2 
1.8959990322813166E-6,129,19055720 -1  -2 ,'HEPARIN. BEEF' -1 -2 
1.8959637583285253E-6,3271,1125315 -1 1112921 -1  -2 ,'Acetaminophen' -1 'Ipratropium' -1 -2 
1.888087646533571E-6,39,1000560 -1  -2 ,'Ondansetron' -1 -2 
1.8869062764349294E-6,18,914335 -1  -2 ,'Atropine' -1 -2 
1.8803235469839593E-6,235,1742253 -1 19049105 -1  -2 ,'Levofloxacin' -1 'Potassium Chloride' -1 -2 
1.8585766172144015E-6,3484,1125315 -1 1125315 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.8389681685407797E-6,3266,1124957 -1 1125315 -1  -2 ,'Oxycodone' -1 'Acetaminophen' -1 -2 
1.8346575806843226E-6,654,1125315 -1 1797513 -1  -2 ,'Acetaminophen' -1 'Ciprofloxacin' -1 -2 
1.8317342855334903E-6,894,1742253 -1 1124957 -1  -2 ,'Levofloxacin' -1 'Oxycodone' -1 -2 
1.8233194747327207E-6,2174,1174888 -1 1125315 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 'Hydrocodone' -1 -2 
1.8138820272826875E-6,1693,1174888 -1 1518254 -1  -2 ,'Hydrocodone' -1 'Dexamethasone' -1 -2 
1.806758786627227E-6,1566,1551099 -1 1154343 -1  -2 ,'Prednisone' -1 'Albuterol' -1 -2 
1.7937940047973832E-6,2068,1174888 -1 744740 -1  -2 ,'Hydrocodone' -1 'zolpidem' -1 -2 
1.7929678999729132E-6,130,19111620 -1  -2 ,'Folic Acid' -1 -2 
1.7858030268023097E-6,899,956874 -1 1742253 -1  -2 ,'Furosemide' -1 'Levofloxacin' -1 -2 
1.7744234497106316E-6,3211,1137529 1149380 -1  -2 ,'salmeterol' 'fluticasone' -1 -2 
1.7684368848544816E-6,1591,1551099 -1 1125315 1174888 -1  -2 ,'Prednisone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.7677910356972248E-6,913,1742253 -1 1125315 1174888 -1  -2 ,'Levofloxacin' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.7448535519352232E-6,13,903963 -1  -2 ,'Triamcinolone' -1 -2 
1.73371755800482E-6,2614,1174888 -1 1174888 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Hydrocodone' -1 'Hydrocodone' -1 -2 
1.7078400575027917E-6,246,19049105 -1 1551099 -1  -2 ,'Potassium Chloride' -1 'Prednisone' -1 -2 
1.7029005577092317E-6,92,1501700 -1  -2 ,'Thyroxine' -1 -2 
1.7007529041266195E-6,851,1742253 -1 1742253 -1  -2 ,'Levofloxacin' -1 'Levofloxacin' -1 -2 
1.698536100693281E-6,8,777221 -1  -2 ,'Hydroxyzine' -1 -2 
1.6953146408074814E-6,1579,956874 -1 1551099 -1  -2 ,'Furosemide' -1 'Prednisone' -1 -2 
1.6741576978981558E-6,884,1742253 -1 1154343 -1  -2 ,'Levofloxacin' -1 'Albuterol' -1 -2 
1.6731400387630336E-6,10,781039 -1  -2 ,'Alprazolam' -1 -2 
1.6665145170205785E-6,607,1705674 1836430 -1  -2 ,'Trimethoprim' 'Sulfamethoxazole' -1 -2 
1.6665145170205785E-6,126,1836430 -1  -2 ,'Sulfamethoxazole' -1 -2 
1.6665145170205785E-6,111,1705674 -1  -2 ,'Trimethoprim' -1 -2 
1.652809648170498E-6,3265,1124957 1125315 -1  -2 ,'Oxycodone' 'Acetaminophen' -1 -2 
1.6510638730766074E-6,4470,1125315 1174888 -1 1742253 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Levofloxacin' -1 -2 
1.6374163437340282E-6,2003,1174888 -1 1154343 -1  -2 ,'Hydrocodone' -1 'Albuterol' -1 -2 
1.6349105486724694E-6,2062,1174888 -1 791967 -1  -2 ,'Hydrocodone' -1 'Lorazepam' -1 -2 
1.6262805713020324E-6,1874,1310149 -1 1125315 -1  -2 ,'Warfarin' -1 'Acetaminophen' -1 -2 
1.621808383020214E-6,3362,1125315 -1 956874 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Furosemide' -1 'Acetaminophen' -1 -2 
1.6037665945495505E-6,225,19049105 -1 19049105 -1  -2 ,'Potassium Chloride' -1 'Potassium Chloride' -1 -2 
1.602645127540785E-6,2012,1174888 -1 1153013 -1  -2 ,'Hydrocodone' -1 'Promethazine' -1 -2 
1.5953362504429216E-6,1570,1149380 -1 1551099 -1  -2 ,'fluticasone' -1 'Prednisone' -1 -2 
1.5933378401573153E-6,317,19049105 -1 744740 -1  -2 ,'Potassium Chloride' -1 'zolpidem' -1 -2 
1.5869773230929106E-6,2022,1124957 -1 1174888 -1  -2 ,'Oxycodone' -1 'Hydrocodone' -1 -2 
1.57470802251378E-6,3159,1125315 -1 1153664 -1  -2 ,'Acetaminophen' -1 'Propoxyphene' -1 -2 
1.5671308911111554E-6,9,778711 -1  -2 ,'cyclobenzaprine' -1 -2 
1.5619640955886768E-6,846,1125315 -1 1754994 -1  -2 ,'Acetaminophen' -1 'Fluconazole' -1 -2 
1.5573207538733135E-6,4474,1125315 1174888 -1 1797513 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Ciprofloxacin' -1 -2 
1.5386377708090653E-6,3194,1125315 -1 1153013 -1  -2 ,'Acetaminophen' -1 'Promethazine' -1 -2 
1.527282293860274E-6,280,19049105 -1 1154343 -1  -2 ,'Potassium Chloride' -1 'Albuterol' -1 -2 
1.5157280294267622E-6,5,739138 -1  -2 ,'Sertraline' -1 -2 
1.5110977180816216E-6,854,1742253 -1 1734104 -1  -2 ,'Levofloxacin' -1 'Azithromycin' -1 -2 
1.4978415954426392E-6,3312,1125315 -1 791967 -1  -2 ,'Acetaminophen' -1 'Lorazepam' -1 -2 
1.495252273656349E-6,3270,1112921 -1 1125315 -1  -2 ,'Ipratropium' -1 'Acetaminophen' -1 -2 
1.4911641167995462E-6,89,1373928 -1  -2 ,'Hydralazine' -1 -2 
1.490907214089085E-6,1696,1518254 -1 1125315 -1  -2 ,'Dexamethasone' -1 'Acetaminophen' -1 -2 
1.4707138014422712E-6,3499,1125315 -1 1125315 -1 1174888 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Hydrocodone' -1 -2 
1.4617725698807123E-6,80,1328165 -1  -2 ,'Diltiazem' -1 -2 
1.4533758106170564E-6,5019,1125315 -1 1713332 1759842 -1  -2 ,'Acetaminophen' -1 'Amoxicillin' 'Clavulanate' -1 -2 
1.4533758106170564E-6,823,1125315 -1 1759842 -1  -2 ,'Acetaminophen' -1 'Clavulanate' -1 -2 
1.4284769855706995E-6,3498,1125315 -1 1174888 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 'Acetaminophen' -1 -2 
1.4213973941793719E-6,2160,1174888 -1 1125315 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.4108348247914053E-6,2173,1174888 -1 1174888 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Hydrocodone' -1 'Acetaminophen' -1 -2 
1.4053184728574726E-6,3471,1125315 1174888 -1 1124957 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Oxycodone' -1 -2 
1.392842147503798E-6,4145,1125315 -1 1174888 -1 1174888 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 'Hydrocodone' -1 -2 
1.3908650342975424E-6,1040,1125315 -1 1734104 -1  -2 ,'Acetaminophen' -1 'Azithromycin' -1 -2 
1.3894285130795626E-6,2002,1154343 -1 1174888 -1  -2 ,'Albuterol' -1 'Hydrocodone' -1 -2 
1.3786315258116136E-6,853,1734104 -1 1742253 -1  -2 ,'Azithromycin' -1 'Levofloxacin' -1 -2 
1.3776917770663577E-6,93,1502905 -1  -2 ,'Insulin. Glargine. Human' -1 -2 
1.34083385674704E-6,4467,1125315 1174888 -1 1713332 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Amoxicillin' -1 -2 
1.326013718345717E-6,3318,1125315 -1 744740 -1  -2 ,'Acetaminophen' -1 'zolpidem' -1 -2 
1.3164654913715774E-6,1580,1551099 -1 956874 -1  -2 ,'Prednisone' -1 'Furosemide' -1 -2 
1.3074691040861023E-6,2294,1174888 -1 1125315 -1 1125315 1174888 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.304930978640482E-6,5302,956874 -1 744740 -1  -2 ,'Furosemide' -1 'zolpidem' -1 -2 
1.2927976887461083E-6,3671,1125315 -1 1125315 -1 1125315 1174888 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.292595060778931E-6,3055,1154343 -1 956874 -1  -2 ,'Albuterol' -1 'Furosemide' -1 -2 
1.282304011752241E-6,5235,1112921 -1 956874 -1  -2 ,'Ipratropium' -1 'Furosemide' -1 -2 
1.2788129876708636E-6,94,1503297 -1  -2 ,'Metformin' -1 -2 
1.2767926556937426E-6,1564,1163944 -1 1551099 -1  -2 ,'Guaifenesin' -1 'Prednisone' -1 -2 
1.271412573114509E-6,4455,1125315 1174888 -1 1310149 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Warfarin' -1 -2 
1.2678715255009663E-6,3073,1154343 -1 1125315 1174888 -1  -2 ,'Albuterol' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.2630875188847715E-6,1894,1308216 -1 1125315 -1  -2 ,'Lisinopril' -1 'Acetaminophen' -1 -2 
1.260347706325777E-6,2013,1149380 -1 1174888 -1  -2 ,'fluticasone' -1 'Hydrocodone' -1 -2 
1.2573840413958594E-6,2155,1174888 -1 1124957 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Oxycodone' -1 'Acetaminophen' -1 -2 
1.2310701286737766E-6,3464,1125315 -1 1112921 1154343 -1  -2 ,'Acetaminophen' -1 'Ipratropium' 'Albuterol' -1 -2 
1.2285073073622225E-6,3214,1125315 -1 1149380 -1  -2 ,'Acetaminophen' -1 'fluticasone' -1 -2 
1.2204882751459907E-6,3195,1153013 -1 1125315 -1  -2 ,'Promethazine' -1 'Acetaminophen' -1 -2 
1.2178041949636298E-6,62,1154332 -1  -2 ,'Pseudoephedrine' -1 -2 
1.2101094338205E-6,1694,1518254 -1 1174888 -1  -2 ,'Dexamethasone' -1 'Hydrocodone' -1 -2 
1.207796377228106E-6,3215,1149380 -1 1125315 -1  -2 ,'fluticasone' -1 'Acetaminophen' -1 -2 
1.2011017124851933E-6,3038,1154343 -1 1154343 -1  -2 ,'Albuterol' -1 'Albuterol' -1 -2 
1.200482738727179E-6,1026,1734104 -1 1174888 -1  -2 ,'Azithromycin' -1 'Hydrocodone' -1 -2 
1.194540682961307E-6,2011,1153013 -1 1174888 -1  -2 ,'Promethazine' -1 'Hydrocodone' -1 -2 
1.1725893444238022E-6,2087,1174888 -1 956874 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Furosemide' -1 'Acetaminophen' -1 -2 
1.164641941085869E-6,4082,1125315 1174888 -1 1153013 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Promethazine' -1 -2 
1.1641750008445433E-6,1866,1322184 -1 956874 -1  -2 ,'clopidogrel' -1 'Furosemide' -1 -2 
1.1561987916373798E-6,3468,1125315 -1 1124957 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Oxycodone' -1 'Acetaminophen' -1 -2 
1.1506641631880976E-6,3327,1125315 1174888 -1 744740 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'zolpidem' -1 -2 
1.1258236504314194E-6,114,1716903 -1  -2 ,'moxifloxacin' -1 -2 
1.1233012409708956E-6,1872,1310149 -1 1174888 -1  -2 ,'Warfarin' -1 'Hydrocodone' -1 -2 
1.1159253790656027E-6,1202,1713332 -1 1551099 -1  -2 ,'Amoxicillin' -1 'Prednisone' -1 -2 
1.1148685312665731E-6,2710,1174888 -1 1174888 -1 1125315 1174888 -1  -2 ,'Hydrocodone' -1 'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.1143779823444172E-6,74,1309944 -1  -2 ,'Amiodarone' -1 -2 
1.1136630894174266E-6,4262,1125315 -1 1174888 -1 1125315 1174888 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.1047998667358562E-6,3311,791967 -1 1125315 -1  -2 ,'Lorazepam' -1 'Acetaminophen' -1 -2 
1.100139780825983E-6,1075,1734104 -1 1125315 1174888 -1  -2 ,'Azithromycin' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.0891449296312978E-6,268,19049105 -1 1310149 -1  -2 ,'Potassium Chloride' -1 'Warfarin' -1 -2 
1.0888953498403209E-6,2025,1112921 -1 1174888 -1  -2 ,'Ipratropium' -1 'Hydrocodone' -1 -2 
1.0832273757101653E-6,2014,1174888 -1 1149380 -1  -2 ,'Hydrocodone' -1 'fluticasone' -1 -2 
1.0735961630107907E-6,2009,1174888 -1 1153664 -1  -2 ,'Hydrocodone' -1 'Propoxyphene' -1 -2 
1.0666932185921422E-6,2157,1174888 -1 1124957 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Oxycodone' -1 'Hydrocodone' -1 -2 
1.062365180181156E-6,3304,1125315 -1 906780 -1  -2 ,'Acetaminophen' -1 'Metoclopramide' -1 -2 
1.0596733659046744E-6,655,1797513 -1 1125315 -1  -2 ,'Ciprofloxacin' -1 'Acetaminophen' -1 -2 
1.0547981253469673E-6,4116,1125315 1174888 -1 1154343 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Albuterol' -1 -2 
1.0529711717260693E-6,1921,1307046 -1 1125315 -1  -2 ,'Metoprolol' -1 'Acetaminophen' -1 -2 
1.0368882852905532E-6,2059,797399 -1 1174888 -1  -2 ,'gabapentin' -1 'Hydrocodone' -1 -2 
1.0352334435304272E-6,90,1383815 -1  -2 ,'Isosorbide' -1 -2 
1.0339033553874402E-6,1002,1734104 -1 1551099 -1  -2 ,'Azithromycin' -1 'Prednisone' -1 -2 
1.0336532132992412E-6,293,1112921 -1 19049105 -1  -2 ,'Ipratropium' -1 'Potassium Chloride' -1 -2 
1.0282023065931942E-6,2060,1174888 -1 797399 -1  -2 ,'Hydrocodone' -1 'gabapentin' -1 -2 
1.0219211221410541E-6,2061,791967 -1 1174888 -1  -2 ,'Lorazepam' -1 'Hydrocodone' -1 -2 
1.020322774474492E-6,3310,1125315 -1 797399 -1  -2 ,'Acetaminophen' -1 'gabapentin' -1 -2 
1.018854531913543E-6,2026,1174888 -1 1112921 -1  -2 ,'Hydrocodone' -1 'Ipratropium' -1 -2 
1.0093869123225391E-6,287,1137529 -1 19049105 -1  -2 ,'salmeterol' -1 'Potassium Chloride' -1 -2 
1.0044685760545066E-6,36,986417 -1  -2 ,'POLYETHYLENE GLYCOL 3350' -1 -2 
1.0019291217608952E-6,1864,1322184 -1 1125315 -1  -2 ,'clopidogrel' -1 'Acetaminophen' -1 -2 
9.99688838819486E-7,264,19049105 -1 1326303 -1  -2 ,'Potassium Chloride' -1 'Digoxin' -1 -2 
9.972159563605593E-7,1247,1713332 -1 1125315 -1  -2 ,'Amoxicillin' -1 'Acetaminophen' -1 -2 
9.970095894410548E-7,872,1742253 -1 1310149 -1  -2 ,'Levofloxacin' -1 'Warfarin' -1 -2 
9.938537397475273E-7,68,1192710 -1  -2 ,'Chlorpheniramine' -1 -2 
9.91074567171639E-7,267,1310149 -1 19049105 -1  -2 ,'Warfarin' -1 'Potassium Chloride' -1 -2 
9.90399737962446E-7,3749,1125315 -1 1125315 1174888 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' -1 -2 
9.90195236484163E-7,279,1154343 -1 19049105 -1  -2 ,'Albuterol' -1 'Potassium Chloride' -1 -2 
9.85704025378463E-7,65,1167322 -1  -2 ,'Allopurinol' -1 -2 
9.845924103745964E-7,1857,956874 -1 1326303 -1  -2 ,'Furosemide' -1 'Digoxin' -1 -2 
9.833773160811753E-7,5238,1112921 -1 1125315 1174888 -1  -2 ,'Ipratropium' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
9.753953229107497E-7,5212,1124957 -1 1125315 1174888 -1  -2 ,'Oxycodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
9.735336201644638E-7,1920,1125315 -1 1307046 -1  -2 ,'Acetaminophen' -1 'Metoprolol' -1 -2 
