modelFreeScore,seqId,seq,semantic
7.29079084797793E-6,47,1153664 -1  -2 ,'Propoxyphene' -1 -2 
7.0136221557787605E-6,274,1713332 1759842 -1  -2 ,'Amoxicillin' 'Clavulanate' -1 -2 
6.9111334210433755E-6,13,906780 -1  -2 ,'Metoclopramide' -1 -2 
6.877989054820365E-6,185,1125315 -1 19049105 -1  -2 ,'Acetaminophen' -1 'Potassium Chloride' -1 -2 
6.807754774236825E-6,63,1326303 -1  -2 ,'Digoxin' -1 -2 
6.466603867687693E-6,81,1705674 -1  -2 ,'Trimethoprim' -1 -2 
6.445024502442035E-6,228,1705674 1836430 -1  -2 ,'Trimethoprim' 'Sulfamethoxazole' -1 -2 
6.445024502442035E-6,95,1836430 -1  -2 ,'Sulfamethoxazole' -1 -2 
6.2589348059819215E-6,834,1125315 -1 1125315 1174888 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
6.177928593745223E-6,837,1125315 1174888 -1 1125315 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' -1 -2 
6.151492923860139E-6,62,1322184 -1  -2 ,'clopidogrel' -1 -2 
5.990942165800364E-6,20,948078 -1  -2 ,'pantoprazole' -1 -2 
5.7161592241963845E-6,89,1754994 -1  -2 ,'Fluconazole' -1 -2 
5.636170589155028E-6,179,19049105 -1 1174888 -1  -2 ,'Potassium Chloride' -1 'Hydrocodone' -1 -2 
5.626384764269101E-6,298,1125315 -1 1742253 -1  -2 ,'Acetaminophen' -1 'Levofloxacin' -1 -2 
5.371682823675591E-6,596,1174888 -1 956874 -1  -2 ,'Hydrocodone' -1 'Furosemide' -1 -2 
5.3638254248118244E-6,70,1501700 -1  -2 ,'Thyroxine' -1 -2 
5.3062423174725565E-6,1140,956874 -1 1125315 1174888 -1  -2 ,'Furosemide' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
5.275238111706982E-6,194,19049105 -1 956874 -1  -2 ,'Potassium Chloride' -1 'Furosemide' -1 -2 
5.270238392151823E-6,55,1201620 -1  -2 ,'Codeine' -1 -2 
5.2129018943913385E-6,9,797399 -1  -2 ,'gabapentin' -1 -2 
5.162431953422487E-6,614,1174888 -1 1125315 1174888 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
5.140845403178561E-6,16,922570 -1  -2 ,'Nystatin' -1 -2 
5.118700162628677E-6,2,708298 -1  -2 ,'Midazolam' -1 -2 
5.000289921219904E-6,192,956874 19049105 -1  -2 ,'Furosemide' 'Potassium Chloride' -1 -2 
4.939079791878179E-6,14,907013 -1  -2 ,'Metolazone' -1 -2 
4.88812431097868E-6,299,1742253 -1 1125315 -1  -2 ,'Levofloxacin' -1 'Acetaminophen' -1 -2 
4.827554976833181E-6,43,1137529 -1  -2 ,'salmeterol' -1 -2 
4.8164740014399315E-6,731,1125315 -1 1154343 -1  -2 ,'Acetaminophen' -1 'Albuterol' -1 -2 
4.712901662293639E-6,178,1174888 -1 19049105 -1  -2 ,'Hydrocodone' -1 'Potassium Chloride' -1 -2 
4.622354058369722E-6,941,1125315 1174888 -1 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Hydrocodone' -1 -2 
4.613353063487945E-6,150,19049105 -1 19049105 -1  -2 ,'Potassium Chloride' -1 'Potassium Chloride' -1 -2 
4.448955316656299E-6,387,1125315 -1 1713332 -1  -2 ,'Acetaminophen' -1 'Amoxicillin' -1 -2 
4.435959346877328E-6,103,19136030 -1  -2 ,'Saline Solution. Hypertonic' -1 -2 
4.432840456348694E-6,39,1129625 -1  -2 ,'Diphenhydramine' -1 -2 
4.421123188856066E-6,78,1545958 -1  -2 ,'atorvastatin' -1 -2 
4.354498879221492E-6,732,1154343 -1 1125315 -1  -2 ,'Albuterol' -1 'Acetaminophen' -1 -2 
4.3186323810201705E-6,759,1137529 1149380 -1  -2 ,'salmeterol' 'fluticasone' -1 -2 
4.308661296696789E-6,64,1332418 -1  -2 ,'Amlodipine' -1 -2 
4.234876231515229E-6,7,781039 -1  -2 ,'Alprazolam' -1 -2 
4.224526520700618E-6,205,19049105 -1 1125315 1174888 -1  -2 ,'Potassium Chloride' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
4.193229028215437E-6,733,1112921 1154343 -1  -2 ,'Ipratropium' 'Albuterol' -1 -2 
4.15530621816267E-6,71,1502905 -1  -2 ,'Insulin. Glargine. Human' -1 -2 
4.068500800300717E-6,769,1125315 -1 1124957 -1  -2 ,'Acetaminophen' -1 'Oxycodone' -1 -2 
4.04485095612821E-6,734,956874 -1 1154343 -1  -2 ,'Furosemide' -1 'Albuterol' -1 -2 
4.038955327927469E-6,28,989878 -1  -2 ,'Lidocaine' -1 -2 
4.024086941465136E-6,447,1125315 -1 1551099 -1  -2 ,'Acetaminophen' -1 'Prednisone' -1 -2 
3.948516542271893E-6,1035,1125315 1174888 -1 1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
3.940900644664047E-6,300,956874 -1 1742253 -1  -2 ,'Furosemide' -1 'Levofloxacin' -1 -2 
3.823547670809243E-6,10,903963 -1  -2 ,'Triamcinolone' -1 -2 
3.816502147937524E-6,448,1551099 -1 1125315 -1  -2 ,'Prednisone' -1 'Acetaminophen' -1 -2 
3.7626151422255516E-6,66,1361711 -1  -2 ,'Nitroglycerin' -1 -2 
3.7594287490091627E-6,810,1125315 1174888 -1 956874 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Furosemide' -1 -2 
3.69672654384822E-6,294,1174888 -1 1742253 -1  -2 ,'Hydrocodone' -1 'Levofloxacin' -1 -2 
3.6168714352374266E-6,748,1125315 1153664 -1  -2 ,'Acetaminophen' 'Propoxyphene' -1 -2 
3.544816278822853E-6,77,1539403 -1  -2 ,'Simvastatin' -1 -2 
3.3977450876878605E-6,449,956874 -1 1551099 -1  -2 ,'Furosemide' -1 'Prednisone' -1 -2 
3.3825616018010958E-6,1009,1125315 1174888 -1 19049105 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Potassium Chloride' -1 -2 
3.372872954124997E-6,753,1125315 -1 1153013 -1  -2 ,'Acetaminophen' -1 'Promethazine' -1 -2 
3.3264579501305053E-6,826,1125315 -1 1125315 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
3.284949384663942E-6,295,1742253 -1 1174888 -1  -2 ,'Levofloxacin' -1 'Hydrocodone' -1 -2 
3.2812362035000613E-6,82,1707164 -1  -2 ,'Metronidazole' -1 -2 
3.279010440653468E-6,735,1154343 -1 956874 -1  -2 ,'Albuterol' -1 'Furosemide' -1 -2 
3.2318681873164704E-6,56,1301025 -1  -2 ,'Enoxaparin' -1 -2 
3.2285088154171087E-6,332,1125315 -1 1734104 -1  -2 ,'Acetaminophen' -1 'Azithromycin' -1 -2 
3.2226342238777637E-6,529,1125315 -1 1310149 -1  -2 ,'Acetaminophen' -1 'Warfarin' -1 -2 
3.2090693624077624E-6,388,1713332 -1 1125315 -1  -2 ,'Amoxicillin' -1 'Acetaminophen' -1 -2 
3.1214183874020846E-6,51,1163944 -1  -2 ,'Guaifenesin' -1 -2 
3.1132694237697573E-6,553,1307046 -1 1125315 -1  -2 ,'Metoprolol' -1 'Acetaminophen' -1 -2 
2.9896900300667415E-6,301,1742253 -1 956874 -1  -2 ,'Levofloxacin' -1 'Furosemide' -1 -2 
2.9746522581996663E-6,180,1154343 -1 19049105 -1  -2 ,'Albuterol' -1 'Potassium Chloride' -1 -2 
2.961114708567798E-6,333,1734104 -1 1125315 -1  -2 ,'Azithromycin' -1 'Acetaminophen' -1 -2 
2.949047557377062E-6,573,1154343 -1 1174888 -1  -2 ,'Albuterol' -1 'Hydrocodone' -1 -2 
2.9262606723310572E-6,285,1742253 -1 1742253 -1  -2 ,'Levofloxacin' -1 'Levofloxacin' -1 -2 
2.907532475951709E-6,158,19049105 -1 1742253 -1  -2 ,'Potassium Chloride' -1 'Levofloxacin' -1 -2 
2.8901779614988697E-6,38,1126658 -1  -2 ,'Hydromorphone' -1 -2 
2.8369158342506247E-6,767,1124957 1125315 -1  -2 ,'Oxycodone' 'Acetaminophen' -1 -2 
2.7895293557263502E-6,157,1742253 -1 19049105 -1  -2 ,'Levofloxacin' -1 'Potassium Chloride' -1 -2 
2.7384160843348044E-6,17,923645 -1  -2 ,'Omeprazole' -1 -2 
2.732798558149344E-6,807,1125315 -1 956874 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Furosemide' -1 'Acetaminophen' -1 -2 
2.7248036871270406E-6,392,956874 -1 1713332 -1  -2 ,'Furosemide' -1 'Amoxicillin' -1 -2 
2.6474951507352213E-6,574,1174888 -1 1154343 -1  -2 ,'Hydrocodone' -1 'Albuterol' -1 -2 
2.551253946867665E-6,337,956874 -1 1734104 -1  -2 ,'Furosemide' -1 'Azithromycin' -1 -2 
2.5399011577178133E-6,86,1738521 -1  -2 ,'Doxycycline' -1 -2 
2.5127545574687033E-6,164,1551099 -1 19049105 -1  -2 ,'Prednisone' -1 'Potassium Chloride' -1 -2 
2.5111769799023724E-6,835,1125315 -1 1174888 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 'Acetaminophen' -1 -2 
2.4916831800588825E-6,940,1125315 -1 1174888 -1 1174888 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 'Hydrocodone' -1 -2 
2.4906099643535266E-6,510,1346823 -1 1125315 -1  -2 ,'carvedilol' -1 'Acetaminophen' -1 -2 
2.47285076598378E-6,165,19049105 -1 1551099 -1  -2 ,'Potassium Chloride' -1 'Prednisone' -1 -2 
2.4526968971321095E-6,586,1174888 -1 1124957 -1  -2 ,'Hydrocodone' -1 'Oxycodone' -1 -2 
2.443506122257154E-6,530,1310149 -1 1125315 -1  -2 ,'Warfarin' -1 'Acetaminophen' -1 -2 
2.4428515864793544E-6,380,1713332 -1 1174888 -1  -2 ,'Amoxicillin' -1 'Hydrocodone' -1 -2 
2.4344412293173594E-6,379,1174888 -1 1713332 -1  -2 ,'Hydrocodone' -1 'Amoxicillin' -1 -2 
2.420933854600611E-6,511,956874 -1 1346823 -1  -2 ,'Furosemide' -1 'carvedilol' -1 -2 
2.3680252023566167E-6,25,974166 -1  -2 ,'Hydrochlorothiazide' -1 -2 
2.3511888361685703E-6,836,1125315 -1 1125315 -1 1174888 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Hydrocodone' -1 -2 
2.3393831349433935E-6,246,1125315 -1 1797513 -1  -2 ,'Acetaminophen' -1 'Ciprofloxacin' -1 -2 
2.3308900009823386E-6,475,1125315 -1 1518254 -1  -2 ,'Acetaminophen' -1 'Dexamethasone' -1 -2 
2.319985521682828E-6,11,904453 -1  -2 ,'Esomeprazole' -1 -2 
2.3179126202223295E-6,296,1154343 -1 1742253 -1  -2 ,'Albuterol' -1 'Levofloxacin' -1 -2 
2.3129344681252597E-6,441,1174888 -1 1551099 -1  -2 ,'Hydrocodone' -1 'Prednisone' -1 -2 
2.3027759271985503E-6,303,1742253 -1 1125315 1174888 -1  -2 ,'Levofloxacin' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
2.287983560484381E-6,443,1154343 -1 1551099 -1  -2 ,'Albuterol' -1 'Prednisone' -1 -2 
2.2848201283419344E-6,728,1154343 -1 1154343 -1  -2 ,'Albuterol' -1 'Albuterol' -1 -2 
2.2818321525468733E-6,92,1777806 -1  -2 ,'Ceftriaxone' -1 -2 
2.2802115860665074E-6,135,956874 -1 19121608 -1  -2 ,'Furosemide' -1 'Influenza virus vaccine' -1 -2 
2.2740148607307348E-6,768,1124957 -1 1125315 -1  -2 ,'Oxycodone' -1 'Acetaminophen' -1 -2 
2.2626858991503582E-6,1120,970250 -1 956874 -1  -2 ,'Spironolactone' -1 'Furosemide' -1 -2 
2.2616754598375478E-6,1139,956874 -1 1125315 -1 1125315 -1  -2 ,'Furosemide' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
2.2593987721017804E-6,442,1551099 -1 1174888 -1  -2 ,'Prednisone' -1 'Hydrocodone' -1 -2 
2.247797320277985E-6,132,1125315 -1 19121608 -1  -2 ,'Acetaminophen' -1 'Influenza virus vaccine' -1 -2 
2.2452437749564835E-6,162,19049105 -1 1713332 -1  -2 ,'Potassium Chloride' -1 'Amoxicillin' -1 -2 
2.2315694299253012E-6,188,19049105 -1 1124957 -1  -2 ,'Potassium Chloride' -1 'Oxycodone' -1 -2 
2.2213537125028176E-6,1004,1125315 1174888 -1 1742253 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Levofloxacin' -1 -2 
2.212085794417504E-6,747,708298 1154029 -1  -2 ,'Midazolam' 'Fentanyl' -1 -2 
2.2068516583090673E-6,181,19049105 -1 1154343 -1  -2 ,'Potassium Chloride' -1 'Albuterol' -1 -2 
2.1914028658420054E-6,1119,956874 -1 970250 -1  -2 ,'Furosemide' -1 'Spironolactone' -1 -2 
2.182169659113483E-6,438,1551099 -1 1551099 -1  -2 ,'Prednisone' -1 'Prednisone' -1 -2 
2.173715115732693E-6,551,1307046 -1 1174888 -1  -2 ,'Metoprolol' -1 'Hydrocodone' -1 -2 
2.1658928919358105E-6,32,1103314 -1  -2 ,'Tramadol' -1 -2 
2.165490823710259E-6,552,1125315 -1 1307046 -1  -2 ,'Acetaminophen' -1 'Metoprolol' -1 -2 
2.1640318609488432E-6,450,1551099 -1 956874 -1  -2 ,'Prednisone' -1 'Furosemide' -1 -2 
2.150708123577105E-6,781,970250 -1 1125315 -1  -2 ,'Spironolactone' -1 'Acetaminophen' -1 -2 
2.138850403352498E-6,512,1346823 -1 956874 -1  -2 ,'carvedilol' -1 'Furosemide' -1 -2 
2.1381962368997964E-6,324,1174888 -1 1734104 -1  -2 ,'Hydrocodone' -1 'Azithromycin' -1 -2 
2.1328786959212176E-6,739,1154343 -1 1125315 1174888 -1  -2 ,'Albuterol' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
2.1267811374533403E-6,1106,956874 -1 1124957 -1  -2 ,'Furosemide' -1 'Oxycodone' -1 -2 
2.119072645301388E-6,279,1125315 -1 1759842 -1  -2 ,'Acetaminophen' -1 'Clavulanate' -1 -2 
2.116143008919111E-6,611,1174888 -1 1125315 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
2.114269196791925E-6,84,1716903 -1  -2 ,'moxifloxacin' -1 -2 
2.1117487842013465E-6,60,1309944 -1  -2 ,'Amiodarone' -1 -2 
2.101038432816457E-6,863,1125315 -1 19049105 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Potassium Chloride' -1 'Acetaminophen' -1 -2 
2.084233042539819E-6,680,1174888 -1 1174888 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Hydrocodone' -1 'Hydrocodone' -1 -2 
2.078473839592989E-6,1087,1125315 -1 1713332 1759842 -1  -2 ,'Acetaminophen' -1 'Amoxicillin' 'Clavulanate' -1 -2 
2.074686664671458E-6,615,1174888 -1 1174888 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Hydrocodone' -1 'Acetaminophen' -1 -2 
2.0690034376068734E-6,393,1713332 -1 956874 -1  -2 ,'Amoxicillin' -1 'Furosemide' -1 -2 
2.0602226938293798E-6,286,1734104 -1 1742253 -1  -2 ,'Azithromycin' -1 'Levofloxacin' -1 -2 
2.0524704461157966E-6,531,956874 -1 1310149 -1  -2 ,'Furosemide' -1 'Warfarin' -1 -2 
2.0524554583415498E-6,338,1734104 -1 956874 -1  -2 ,'Azithromycin' -1 'Furosemide' -1 -2 
2.049575914896808E-6,27,986417 -1  -2 ,'POLYETHYLENE GLYCOL 3350' -1 -2 
2.0492119709215966E-6,361,1713332 -1 1713332 -1  -2 ,'Amoxicillin' -1 'Amoxicillin' -1 -2 
2.030569598945288E-6,297,1742253 -1 1154343 -1  -2 ,'Levofloxacin' -1 'Albuterol' -1 -2 
2.02319767581383E-6,527,1174888 -1 1310149 -1  -2 ,'Hydrocodone' -1 'Warfarin' -1 -2 
2.021119813923549E-6,761,1149380 -1 1125315 -1  -2 ,'fluticasone' -1 'Acetaminophen' -1 -2 
2.0194792824855577E-6,806,1125315 -1 1125315 -1 956874 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Furosemide' -1 -2 
2.0163419939065292E-6,1125,956874 -1 956874 -1 956874 -1  -2 ,'Furosemide' -1 'Furosemide' -1 'Furosemide' -1 -2 
2.0107518827124593E-6,616,1174888 -1 1125315 -1 1174888 -1  -2 ,'Hydrocodone' -1 'Acetaminophen' -1 'Hydrocodone' -1 -2 
1.996282035117776E-6,798,1125315 -1 744740 -1  -2 ,'Acetaminophen' -1 'zolpidem' -1 -2 
1.988949072772308E-6,554,956874 -1 1307046 -1  -2 ,'Furosemide' -1 'Metoprolol' -1 -2 
1.9075963282217257E-6,325,1734104 -1 1174888 -1  -2 ,'Azithromycin' -1 'Hydrocodone' -1 -2 
1.9039728265592594E-6,262,1125315 -1 1786621 -1  -2 ,'Acetaminophen' -1 'Cephalexin' -1 -2 
1.8913282828681782E-6,444,1551099 -1 1154343 -1  -2 ,'Prednisone' -1 'Albuterol' -1 -2 
1.888666301198514E-6,290,1551099 -1 1742253 -1  -2 ,'Prednisone' -1 'Levofloxacin' -1 -2 
1.8745549400699302E-6,161,1713332 -1 19049105 -1  -2 ,'Amoxicillin' -1 'Potassium Chloride' -1 -2 
1.8740022900087524E-6,939,1125315 1174888 -1 1154343 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Albuterol' -1 -2 
1.870982212279459E-6,749,1125315 -1 1153664 -1  -2 ,'Acetaminophen' -1 'Propoxyphene' -1 -2 
1.8695650571228014E-6,472,1518254 -1 1518254 -1  -2 ,'Dexamethasone' -1 'Dexamethasone' -1 -2 
1.8672339551202864E-6,579,1174888 -1 1153013 -1  -2 ,'Hydrocodone' -1 'Promethazine' -1 -2 
1.8592998025277247E-6,263,1786621 -1 1125315 -1  -2 ,'Cephalexin' -1 'Acetaminophen' -1 -2 
1.8525370807489477E-6,555,1307046 -1 956874 -1  -2 ,'Metoprolol' -1 'Furosemide' -1 -2 
1.836071806569886E-6,540,1308216 -1 1125315 -1  -2 ,'Lisinopril' -1 'Acetaminophen' -1 -2 
1.8291685403446442E-6,4,739138 -1  -2 ,'Sertraline' -1 -2 
1.8032418561071094E-6,248,956874 -1 1797513 -1  -2 ,'Furosemide' -1 'Ciprofloxacin' -1 -2 
1.7855208368837845E-6,18,929887 -1  -2 ,'lansoprazole' -1 -2 
1.7839576450974232E-6,483,1125315 -1 1506270 -1  -2 ,'Acetaminophen' -1 'Methylprednisolone' -1 -2 
1.7657563111899625E-6,291,1742253 -1 1551099 -1  -2 ,'Levofloxacin' -1 'Prednisone' -1 -2 
1.752405742842975E-6,1002,1125315 1174888 -1 1713332 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Amoxicillin' -1 -2 
1.7481139168675929E-6,773,1125315 -1 1000560 -1  -2 ,'Acetaminophen' -1 'Ondansetron' -1 -2 
1.733369420762831E-6,541,956874 -1 1308216 -1  -2 ,'Furosemide' -1 'Lisinopril' -1 -2 
1.7327800176556702E-6,172,19049105 -1 1310149 -1  -2 ,'Potassium Chloride' -1 'Warfarin' -1 -2 
1.72038387422242E-6,1126,956874 -1 1125315 -1 956874 -1  -2 ,'Furosemide' -1 'Acetaminophen' -1 'Furosemide' -1 -2 
1.718767068991813E-6,1142,956874 -1 1125315 -1 1174888 -1  -2 ,'Furosemide' -1 'Acetaminophen' -1 'Hydrocodone' -1 -2 
1.7140826447995974E-6,204,19049105 -1 1125315 -1 1125315 -1  -2 ,'Potassium Chloride' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.7039863259006058E-6,542,1308216 -1 956874 -1  -2 ,'Lisinopril' -1 'Furosemide' -1 -2 
1.7039743334895387E-6,1000,1125315 1174888 -1 1551099 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Prednisone' -1 -2 
1.6942566696458839E-6,754,1153013 -1 1125315 -1  -2 ,'Promethazine' -1 'Acetaminophen' -1 -2 
1.6795695118359292E-6,745,1125315 -1 1154029 -1  -2 ,'Acetaminophen' -1 'Fentanyl' -1 -2 
1.6746246245449234E-6,508,1346823 -1 1174888 -1  -2 ,'carvedilol' -1 'Hydrocodone' -1 -2 
1.6641296414249947E-6,284,1125315 -1 1754994 -1  -2 ,'Acetaminophen' -1 'Fluconazole' -1 -2 
1.6561022713624003E-6,897,1125315 -1 1125315 1174888 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' -1 -2 
1.651664080207669E-6,864,1125315 -1 1125315 -1 19049105 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Potassium Chloride' -1 -2 
1.6425636741085774E-6,243,1174888 -1 1797513 -1  -2 ,'Hydrocodone' -1 'Ciprofloxacin' -1 -2 
1.6361369863803885E-6,159,1734104 -1 19049105 -1  -2 ,'Azithromycin' -1 'Potassium Chloride' -1 -2 
1.6147891282170722E-6,525,1322184 -1 1125315 -1  -2 ,'clopidogrel' -1 'Acetaminophen' -1 -2 
1.6145520818390726E-6,1127,956874 -1 956874 -1 1125315 -1  -2 ,'Furosemide' -1 'Furosemide' -1 'Acetaminophen' -1 -2 
1.6098568945951162E-6,557,1307046 -1 1125315 1174888 -1  -2 ,'Metoprolol' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.6098162820683263E-6,762,956874 -1 1149380 -1  -2 ,'Furosemide' -1 'fluticasone' -1 -2 
1.6035630984546127E-6,884,1125315 -1 1125315 -1 1125315 1174888 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.6030135890686522E-6,247,1797513 -1 1125315 -1  -2 ,'Ciprofloxacin' -1 'Acetaminophen' -1 -2 
1.5901120058752242E-6,72,1503297 -1  -2 ,'Metformin' -1 -2 
1.5825525666692551E-6,287,1742253 -1 1734104 -1  -2 ,'Levofloxacin' -1 'Azithromycin' -1 -2 
1.580421704075031E-6,509,1125315 -1 1346823 -1  -2 ,'Acetaminophen' -1 'carvedilol' -1 -2 
1.5698858852026625E-6,476,1518254 -1 1125315 -1  -2 ,'Dexamethasone' -1 'Acetaminophen' -1 -2 
1.5621085007063638E-6,473,1174888 -1 1518254 -1  -2 ,'Hydrocodone' -1 'Dexamethasone' -1 -2 
1.5581423356816264E-6,532,1310149 -1 956874 -1  -2 ,'Warfarin' -1 'Furosemide' -1 -2 
1.5537434049710804E-6,397,1713332 -1 1125315 1174888 -1  -2 ,'Amoxicillin' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.5426613864315645E-6,264,956874 -1 1786621 -1  -2 ,'Furosemide' -1 'Cephalexin' -1 -2 
1.5400623463124945E-6,1050,1125315 1174888 -1 1125315 -1 1125315 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
1.5356797059755523E-6,605,1174888 -1 956874 -1 1125315 -1  -2 ,'Hydrocodone' -1 'Furosemide' -1 'Acetaminophen' -1 -2 
1.5346111239867602E-6,1147,956874 -1 19049105 -1 1125315 -1  -2 ,'Furosemide' -1 'Potassium Chloride' -1 'Acetaminophen' -1 -2 
1.5245657864348114E-6,967,1125315 -1 1174888 -1 1125315 1174888 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
1.5243803165824257E-6,526,1310149 -1 1310149 -1  -2 ,'Warfarin' -1 'Warfarin' -1 -2 
1.5178702238328369E-6,855,1125315 -1 1742253 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Levofloxacin' -1 'Acetaminophen' -1 -2 
